,rating,games_minutes,offsides,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,rating_target,position_Defender,position_Goalkeeper,position_Midfielder,result_status_encoded,games_substitute_encoded
1236,-0.5000000000000008,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5714285714285714,1.0,-0.56,-0.5,0.0,0.0,-0.3333333333333333,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1
1237,-1.0,-1.1724137931034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5714285714285714,0.0,-0.68,-0.5,0.0,0.0,-0.3333333333333333,-0.25,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,1,1
1238,0.6666666666666652,-1.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857143,3.0,-0.6,-0.5,1.0,0.0,-0.3333333333333333,-0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,0,1
1239,-0.3333333333333333,-1.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857143,1.0,-0.6,-0.5,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,1
1240,0.16666666666666594,-0.5517241379310345,0.0,4.0,1.0,0.0,0.0,0.0,0.0,-0.03571428571428571,1.0,-0.32,-0.5,0.0,0.0,2.0,1.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,0,1
1241,0.4999999999999993,0.22413793103448276,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.10714285714285714,3.0,0.12,-0.5,0.0,0.0,0.16666666666666666,-0.25,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
1243,0.0,0.22413793103448276,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.6785714285714286,1.0,0.72,-0.5,0.0,0.0,0.16666666666666666,-0.25,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,0,0
1244,0.0,0.08620689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.28,1.0,0.0,0.0,0.6666666666666666,0.75,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0
1245,-1.1666666666666659,-0.8448275862068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5357142857142857,2.0,-0.48,-0.5,0.0,0.0,0.0,-0.5,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,1,1
1248,0.4999999999999993,-0.15517241379310345,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,2.0,0.24,0.0,0.0,0.0,0.6666666666666666,0.25,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,2,0
1249,0.6666666666666652,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1071428571428572,1.0,1.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0,1,0
1250,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.0,1.64,0.5,1.0,1.0,2.1666666666666665,1.25,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0,1,0
1251,-0.6666666666666666,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,1.0,0.56,-0.5,0.0,1.0,-0.16666666666666666,0.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1,0,0,0,0
1252,-0.5000000000000008,-0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.24,-0.5,0.0,1.0,-0.8333333333333334,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1
1255,0.9999999999999986,-0.6896551724137931,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.10714285714285714,3.0,-0.08,0.0,0.0,0.0,-0.5,-0.25,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1
1256,0.0,0.034482758620689655,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,2.0,0.36,0.0,0.0,0.0,0.8333333333333334,0.25,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,0,0
1258,-0.3333333333333333,-0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,-0.2,-0.5,1.0,0.0,-0.6666666666666666,-0.75,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,1,0,1
1259,0.0,0.22413793103448276,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2857142857142857,0.0,0.36,-0.5,0.0,0.0,-0.8333333333333334,-0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0,1,0,1,0
1260,-0.3333333333333333,0.22413793103448276,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.17857142857142858,0.0,0.2,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1261,-0.5000000000000008,0.22413793103448276,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2857142857142857,0.0,0.44,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1,0,1,0
1262,-0.6666666666666666,0.22413793103448276,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.21428571428571427,0.0,0.28,-0.5,0.0,0.0,-1.0,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0
1264,-1.0,-0.4482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17857142857142858,0.0,-0.16,-0.5,0.0,0.0,-0.6666666666666666,-0.75,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1,0,0,0,0
1265,-0.6666666666666666,-1.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6428571428571429,0.0,-0.6,0.0,0.0,0.0,-0.3333333333333333,-0.5,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,1
1266,0.6666666666666652,-0.5517241379310345,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.2857142857142857,2.0,-0.2,-0.5,0.0,0.0,-0.5,-0.5,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1,0,0,2,1
1267,0.0,-0.22413793103448276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35714285714285715,0.0,-0.36,-0.5,1.0,0.0,-0.3333333333333333,-0.25,2.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,2,0
1269,0.0,-1.103448275862069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,2.0,-0.36,-0.5,0.0,0.0,-0.8333333333333334,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1
1270,0.0,-1.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857143,0.0,-0.64,-0.5,0.0,0.0,-0.6666666666666666,-0.25,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0,0,0,0,1
1271,-1.1666666666666659,-0.5517241379310345,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.4642857142857143,0.0,-0.44,-0.5,0.0,1.0,-0.3333333333333333,-0.5,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0
1272,0.0,-0.9137931034482759,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-0.6785714285714286,0.0,-0.6,0.0,0.0,0.0,0.16666666666666666,-0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,1
1273,-1.0,-0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7142857142857143,0.0,-0.6,-0.5,0.0,0.0,-0.6666666666666666,-0.75,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,0,1
1284,-1.0,0.15517241379310345,2.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.17857142857142858,0.0,-0.16,-0.5,0.0,0.0,0.5,0.25,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0
1285,0.0,0.10344827586206896,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.07142857142857142,1.0,-0.08,0.0,0.0,0.0,0.5,0.25,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,2,0
1286,-0.5000000000000008,-0.3620689655172414,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.48,-0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0,0,0,1,0
